id,organization,name,date,participants
a001,Green Earth Foundation,Community Garden Workshop,2024-09-01,25
a002,Green Earth Foundation,Environmental Awareness Day,2024-09-02,40
a003,Green Earth Foundation,Tree Planting Event,2024-09-03,35
a004,Green Earth Foundation,Recycling Drive,2024-09-04,20
a005,Green Earth Foundation,Nature Walk and Cleanup,2024-09-05,30
a006,Green Earth Foundation,Composting Workshop,2024-09-06,15
a007,Green Earth Foundation,Green Living Seminar,2024-09-07,45
a008,Green Earth Foundation,Park Beautification Project,2024-09-08,28
a009,Green Earth Foundation,Sustainable Living Fair,2024-09-09,60
a010,Green Earth Foundation,Wildlife Habitat Restoration,2024-09-10,22
a011,Green Earth Foundation,Climate Action Meeting,2024-09-11,35
a012,Green Earth Foundation,Urban Farming Workshop,2024-09-12,18
a013,Green Earth Foundation,Environmental Film Screening,2024-09-13,50
a014,Green Earth Foundation,Beach Cleanup Campaign,2024-09-14,42
a015,Green Earth Foundation,Green Technology Expo,2024-09-15,38
a016,Green Earth Foundation,Community Garden Harvest,2024-09-16,25
a017,Green Earth Foundation,Eco-Friendly Craft Workshop,2024-09-17,12
a018,Green Earth Foundation,Environmental Policy Forum,2024-09-18,30
a019,Green Earth Foundation,Native Plant Restoration,2024-09-19,20
a020,Green Earth Foundation,Green Business Networking,2024-09-20,45
a021,Community Help Center,Food Distribution Day,2024-09-01,50
a022,Community Help Center,Shelter Volunteer Training,2024-09-02,15
a023,Community Help Center,Community Health Fair,2024-09-03,80
a024,Community Help Center,Senior Citizen Support Group,2024-09-04,25
a025,Community Help Center,Youth Mentorship Program,2024-09-05,30
a026,Community Help Center,Homeless Outreach Initiative,2024-09-06,20
a027,Community Help Center,Community Kitchen Service,2024-09-07,35
a028,Community Help Center,Emergency Relief Distribution,2024-09-08,60
a029,Community Help Center,Family Support Workshop,2024-09-09,28
a030,Community Help Center,Mental Health Awareness Day,2024-09-10,40
a031,Community Help Center,Job Skills Training,2024-09-11,22
a032,Community Help Center,Community Garden Project,2024-09-12,18
a033,Community Help Center,Childcare Support Program,2024-09-13,35
a034,Community Help Center,Disability Services Workshop,2024-09-14,15
a035,Community Help Center,Community Safety Meeting,2024-09-15,45
a036,Community Help Center,Financial Literacy Seminar,2024-09-16,30
a037,Community Help Center,Community Art Project,2024-09-17,20
a038,Community Help Center,Veterans Support Group,2024-09-18,25
a039,Community Help Center,Community Wellness Program,2024-09-19,35
a040,Community Help Center,Community Resource Fair,2024-09-20,55
a041,Food Bank Network,Food Sorting Volunteer Day,2024-09-01,30
a042,Food Bank Network,Nutrition Education Workshop,2024-09-02,20
a043,Food Bank Network,Food Distribution Event,2024-09-03,45
a044,Food Bank Network,Community Food Drive,2024-09-04,35
a045,Food Bank Network,Cooking Class for Families,2024-09-05,25
a046,Food Bank Network,Food Safety Training,2024-09-06,18
a047,Food Bank Network,Backpack Program Distribution,2024-09-07,40
a048,Food Bank Network,Senior Meal Delivery,2024-09-08,22
a049,Food Bank Network,Food Bank Volunteer Orientation,2024-09-09,15
a050,Food Bank Network,Holiday Meal Preparation,2024-09-10,50
a051,Food Bank Network,Community Garden Harvest,2024-09-11,28
a052,Food Bank Network,Food Recovery Program,2024-09-12,32
a053,Food Bank Network,Nutrition Counseling Session,2024-09-13,20
a054,Food Bank Network,Food Bank Fundraiser,2024-09-14,60
a055,Food Bank Network,Summer Feeding Program,2024-09-15,38
a056,Food Bank Network,Food Storage Workshop,2024-09-16,12
a057,Food Bank Network,Community Kitchen Training,2024-09-17,25
a058,Food Bank Network,Food Bank Tour and Education,2024-09-18,30
a059,Food Bank Network,Emergency Food Distribution,2024-09-19,45
a060,Food Bank Network,Food Security Forum,2024-09-20,35
